0.00950336 0.00006905
0.04751682 0.00033990
0.08553027 -0.00018577
0.12354372 0.00021370
0.16155718 0.00024096
0.19957063 0.00014903
0.23758408 0.00004406
0.27559754 0.00027800
0.31361099 0.00038906
0.35162444 0.00012921
0.38963790 0.00003822
0.42765135 0.00023195
0.46566480 0.00016403
0.50367826 0.00038877
0.54169171 0.00048655
0.57970516 0.00031274
0.61771862 0.00031829
0.65573207 0.00045000
0.69374552 0.00041081
0.73175898 0.00025329
0.76977243 0.00008916
0.80778588 0.00022055
0.84579933 0.00024058
0.88381279 0.00038792
0.92182624 0.00022846
0.95983969 0.00013422
0.99785315 0.00033688
1.03586660 0.00037572
1.07388005 0.00017228
1.11189351 0.00037661
1.14990696 0.00021257
1.18792041 0.00024599
1.22593387 0.00029071
1.26394732 0.00029311
1.30196077 0.00027491
1.33997423 0.00043909
1.37798768 0.00035022
1.41600113 0.00026379
1.45401459 0.00012979
1.49202804 0.00048517
1.53004149 0.00019826
1.56805495 0.00012386
1.60606840 0.00019525
1.64408185 0.00021934
1.68209531 0.00022463
1.72010876 0.00013115
1.75812221 0.00016141
1.79613567 0.00009664
1.83414912 0.00022893
1.87216257 0.00019671
1.91017603 0.00015488
1.94818948 0.00016989
1.98620293 0.00032448
2.02421639 0.00025945
2.06222984 0.00032772
2.10024329 0.00029528
2.13825675 0.00023058
2.17627020 0.00032365
2.21428365 0.00016918
2.25229711 0.00028928
2.29031056 0.00021488
2.32832401 0.00011619
2.36633747 0.00020070
2.40435092 0.00016679
2.44236437 0.00032265
2.48037783 0.00000229
2.51839128 0.00000972
2.55640473 -0.00008523
2.59441818 0.00017862
2.63243164 0.00007756
2.67044509 -0.00009270
2.70845854 0.00005622
2.74647200 0.00002935
2.78448545 -0.00002720
2.82249890 -0.00003111
2.86051236 0.00006795
2.89852581 0.00009017
2.93653926 0.00025462
2.97455272 0.00009407
3.01256617 0.00006567
3.05057962 -0.00011291
3.08859308 -0.00006515
3.12660653 0.00002406
3.16461998 0.00006855
3.20263344 0.00029117
3.24064689 0.00002179
3.27866034 -0.00004404
3.31667380 0.00015106
3.35468725 0.00018714
3.39270070 0.00012941
3.43071416 -0.00010901
3.46872761 0.00006382
3.50674106 -0.00006907
3.54475452 0.00013764
3.58276797 -0.00010905
3.62078142 0.00005540
3.65879488 -0.00015920
3.69680833 -0.00023805
3.73482178 -0.00027864
3.77283524 -0.00014795
3.81084869 -0.00012351
3.84886214 -0.00007951
3.88687560 -0.00002637
3.92488905 -0.00014598
3.96290250 0.00010338
4.00091596 -0.00002023
4.03892941 0.00004629
4.07694286 0.00025131
4.11495632 0.00038463
4.15296977 0.00044292
4.19098322 0.00063211
4.22899667 0.00059238
4.26701013 0.00092815
4.30502358 0.00062543
