0.00950336 0.00219914
0.04751682 -0.00668434
0.08553027 -0.01576337
0.12354372 -0.02485565
0.16155718 -0.03377179
0.19957063 -0.04231908
0.23758408 -0.05030541
0.27559754 -0.05754335
0.31361099 -0.06385431
0.35162444 -0.06907258
0.38963790 -0.07304935
0.42765135 -0.07565643
0.46566480 -0.07678971
0.50367826 -0.07637224
0.54169171 -0.07435682
0.57970516 -0.07072803
0.61771862 -0.06550375
0.65573207 -0.05873593
0.69374552 -0.05051070
0.73175898 -0.04094777
0.76977243 -0.03019911
0.80778588 -0.01844686
0.84579933 -0.00590053
0.88381279 0.00720642
0.92182624 0.02062068
0.95983969 0.03407376
0.99785315 0.04728709
1.03586660 0.05997753
1.07388005 0.07186322
1.11189351 0.08266950
1.14990696 0.09213494
1.18792041 0.10001735
1.22593387 0.10609942
1.26394732 0.11019420
1.30196077 0.11215002
1.33997423 0.11185485
1.37798768 0.10923998
1.41600113 0.10428288
1.45401459 0.09700920
1.49202804 0.08749383
1.53004149 0.07586090
1.56805495 0.06228282
1.60606840 0.04697818
1.64408185 0.03020868
1.68209531 0.01227501
1.72010876 -0.00648818
1.75812221 -0.02571829
1.79613567 -0.04503141
1.83414912 -0.06402973
1.87216257 -0.08230946
1.91017603 -0.09946911
1.94818948 -0.11511794
1.98620293 -0.12888453
2.02421639 -0.14042516
2.06222984 -0.14943184
2.10024329 -0.15563991
2.13825675 -0.15883486
2.17627020 -0.15885840
2.21428365 -0.15561346
2.25229711 -0.14906809
2.29031056 -0.13925807
2.32832401 -0.12628822
2.36633747 -0.11033226
2.40435092 -0.09163121
2.44236437 -0.07049037
2.48037783 -0.04727479
2.51839128 -0.02240345
2.55640473 0.00365802
2.59441818 0.03040563
2.63243164 0.05730650
2.67044509 0.08380916
2.70845854 0.10935455
2.74647200 0.13338748
2.78448545 0.15536834
2.82249890 0.17478484
2.86051236 0.19116349
2.89852581 0.20408051
2.93653926 0.21317220
2.97455272 0.21814408
3.01256617 0.21877906
3.05057962 0.21494406
3.08859308 0.20659511
3.12660653 0.19378070
3.16461998 0.17664331
3.20263344 0.15541895
3.24064689 0.13043481
3.27866034 0.10210482
3.31667380 0.07092338
3.35468725 0.03745721
3.39270070 0.00233537
3.43071416 -0.03376215
3.46872761 -0.07011725
3.50674106 -0.10598778
3.54475452 -0.14062231
3.58276797 -0.17327555
3.62078142 -0.20322409
3.65879488 -0.22978199
3.69680833 -0.25231602
3.73482178 -0.27026023
3.77283524 -0.28312937
3.81084869 -0.29053108
3.84886214 -0.29217632
3.88687560 -0.28788803
3.92488905 -0.27760751
3.96290250 -0.26139860
4.00091596 -0.23944934
4.03892941 -0.21207108
4.07694286 -0.17969499
4.11495632 -0.14286598
4.15296977 -0.10223411
4.19098322 -0.05854355
4.22899667 -0.01261936
4.26701013 0.03464777
4.30502358 0.08231843
4.34303703 0.12942298
4.38105049 0.17498094
4.41906394 0.21802109
4.45707739 0.25760191
4.49509085 0.29283181
4.53310430 0.32288874
4.57111775 0.34703889
4.60913121 0.36465388
4.64714466 0.37522616
4.68515811 0.37838227
4.72317157 0.37389351
4.76118502 0.36168387
4.79919847 0.34183500
4.83721193 0.31458786
4.87522538 0.28034124
4.91323883 0.23964680
4.95125229 0.19320096
4.98926574 0.14183349
5.02727919 0.08649313
5.06529265 0.02823038
5.10330610 -0.03182209
5.14131955 -0.09247127
5.17933301 -0.15248731
5.21734646 -0.21062816
5.25535991 -0.26566520
5.29337337 -0.31640885
5.33138682 -0.36173404
5.36940027 -0.40060483
5.40741373 -0.43209760
5.44542718 -0.45542240
5.48344063 -0.46994194
5.52145409 -0.47518775
5.55946754 -0.47087316
5.59748099 -0.45690270
5.63549445 -0.43337773
5.67350790 -0.40059814
