t_code,t_ps,Sx,Sy,Sz,l1,l2,l3,l4,l5,l6,l7,l8
-1.299800e+02,-8.555439e+01,-8.372121e-03,1.770299e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.299600e+02,-8.554123e+01,-8.372173e-03,-2.168404e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.299400e+02,-8.552806e+01,-8.372188e-03,3.388132e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.299200e+02,-8.551490e+01,-8.372149e-03,2.075231e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.299000e+02,-8.550173e+01,-8.372102e-03,1.568282e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.298800e+02,-8.548857e+01,-8.372100e-03,8.171750e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.298600e+02,-8.547540e+01,-8.372143e-03,2.603779e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.298400e+02,-8.546224e+01,-8.372180e-03,4.407959e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.298200e+02,-8.544908e+01,-8.372167e-03,5.105915e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.298000e+02,-8.543591e+01,-8.372120e-03,5.686979e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.297800e+02,-8.542275e+01,-8.372092e-03,6.658102e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.297600e+02,-8.540958e+01,-8.372113e-03,7.109995e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.297400e+02,-8.539642e+01,-8.372156e-03,7.475913e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.297200e+02,-8.538326e+01,-8.372170e-03,9.642623e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.297000e+02,-8.537009e+01,-8.372139e-03,9.320751e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.296800e+02,-8.535693e+01,-8.372097e-03,1.137057e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.296600e+02,-8.534376e+01,-8.372091e-03,1.157936e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.296400e+02,-8.533060e+01,-8.372125e-03,1.281222e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.296200e+02,-8.531743e+01,-8.372157e-03,1.314087e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.296000e+02,-8.530427e+01,-8.372149e-03,1.274615e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.295800e+02,-8.529111e+01,-8.372110e-03,1.526099e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.295600e+02,-8.527794e+01,-8.372083e-03,1.546343e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.295400e+02,-8.526478e+01,-8.372097e-03,1.714564e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.295200e+02,-8.525161e+01,-8.372134e-03,1.859746e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.295000e+02,-8.523845e+01,-8.372148e-03,2.050159e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.294800e+02,-8.522528e+01,-8.372123e-03,2.142824e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.294600e+02,-8.521212e+01,-8.372087e-03,2.107672e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.294400e+02,-8.519896e+01,-8.372079e-03,1.972443e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.294200e+02,-8.518579e+01,-8.372107e-03,2.044314e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.294000e+02,-8.517263e+01,-8.372135e-03,2.009332e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.293800e+02,-8.515946e+01,-8.372131e-03,2.145026e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.293600e+02,-8.514630e+01,-8.372099e-03,2.123681e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.293400e+02,-8.513313e+01,-8.372075e-03,2.238750e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.293200e+02,-8.511997e+01,-8.372085e-03,2.356954e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.293000e+02,-8.510681e+01,-8.372116e-03,2.325783e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.292800e+02,-8.509364e+01,-8.372131e-03,2.396426e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.292600e+02,-8.508048e+01,-8.372113e-03,2.466729e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.292400e+02,-8.506731e+01,-8.372082e-03,2.438354e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.292200e+02,-8.505415e+01,-8.372075e-03,2.302405e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.292000e+02,-8.504098e+01,-8.372097e-03,2.481552e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.291800e+02,-8.502782e+01,-8.372123e-03,2.379993e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.291600e+02,-8.501466e+01,-8.372123e-03,2.461647e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.291400e+02,-8.500149e+01,-8.372097e-03,2.746674e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.291200e+02,-8.498833e+01,-8.372077e-03,2.479308e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.291000e+02,-8.497516e+01,-8.372085e-03,2.663156e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.290800e+02,-8.496200e+01,-8.372112e-03,2.631223e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.290600e+02,-8.494884e+01,-8.372127e-03,2.603949e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.290400e+02,-8.493567e+01,-8.372114e-03,2.639524e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.290200e+02,-8.492251e+01,-8.372089e-03,2.762937e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.290000e+02,-8.490934e+01,-8.372082e-03,2.809354e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.289800e+02,-8.489618e+01,-8.372101e-03,2.859583e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.289600e+02,-8.488301e+01,-8.372125e-03,2.770814e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.289400e+02,-8.486985e+01,-8.372127e-03,2.699155e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.289200e+02,-8.485669e+01,-8.372107e-03,2.664512e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.289000e+02,-8.484352e+01,-8.372090e-03,2.593954e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.288800e+02,-8.483036e+01,-8.372096e-03,2.667646e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.288600e+02,-8.481719e+01,-8.372119e-03,2.458090e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.288400e+02,-8.480403e+01,-8.372134e-03,2.292579e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.288200e+02,-8.479086e+01,-8.372126e-03,2.254802e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.288000e+02,-8.477770e+01,-8.372105e-03,2.193985e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.287800e+02,-8.476454e+01,-8.372098e-03,2.077264e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.287600e+02,-8.475137e+01,-8.372114e-03,1.776228e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.287400e+02,-8.473821e+01,-8.372135e-03,1.910737e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.287200e+02,-8.472504e+01,-8.372139e-03,1.879058e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.287000e+02,-8.471188e+01,-8.372124e-03,1.820697e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.286800e+02,-8.469871e+01,-8.372108e-03,1.804943e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.286600e+02,-8.468555e+01,-8.372112e-03,1.799521e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.286400e+02,-8.467239e+01,-8.372132e-03,1.701350e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.286200e+02,-8.465922e+01,-8.372146e-03,1.649343e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.286000e+02,-8.464606e+01,-8.372140e-03,1.646971e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.285800e+02,-8.463289e+01,-8.372122e-03,1.616732e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.285600e+02,-8.461973e+01,-8.372115e-03,1.563453e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.285400e+02,-8.460656e+01,-8.372127e-03,1.156878e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.285200e+02,-8.459340e+01,-8.372145e-03,1.119100e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.285000e+02,-8.458024e+01,-8.372150e-03,8.226384e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.284800e+02,-8.456707e+01,-8.372137e-03,7.484383e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.284600e+02,-8.455391e+01,-8.372123e-03,7.267543e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.284400e+02,-8.454074e+01,-8.372124e-03,8.111188e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.284200e+02,-8.452758e+01,-8.372140e-03,6.879602e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.284000e+02,-8.451442e+01,-8.372152e-03,4.514686e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.283800e+02,-8.450125e+01,-8.372147e-03,2.439455e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.283600e+02,-8.448809e+01,-8.372132e-03,-1.070650e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.283400e+02,-8.447492e+01,-8.372124e-03,-2.964615e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.283200e+02,-8.446176e+01,-8.372132e-03,1.567011e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
-1.283000e+02,-8.444859e+01,-8.372147e-03,-4.726444e-19,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.154701e+00
