t_code,t_ps,Sx,Sy,Sz,l1,l2,l3,l4,l5,l6,l7,l8
-1.294200e+02,-8.518579e+01,-8.374719e-03,1.555830e-17,0.000000e+00,-9.726454e-04,-1.451670e-03,9.999984e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294000e+02,-8.517263e+01,-8.375065e-03,1.541600e-17,0.000000e+00,-1.029980e-03,-1.472668e-03,9.999983e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293800e+02,-8.515946e+01,-8.375400e-03,1.378292e-17,0.000000e+00,-1.087952e-03,-1.491222e-03,9.999982e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293600e+02,-8.514630e+01,-8.375731e-03,1.475870e-17,0.000000e+00,-1.146457e-03,-1.507316e-03,9.999981e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293400e+02,-8.513313e+01,-8.376094e-03,1.444022e-17,0.000000e+00,-1.205393e-03,-1.520936e-03,9.999980e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293200e+02,-8.511997e+01,-8.376514e-03,1.374904e-17,0.000000e+00,-1.264655e-03,-1.532077e-03,9.999979e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293000e+02,-8.510681e+01,-8.376978e-03,1.425048e-17,0.000000e+00,-1.324140e-03,-1.540734e-03,9.999978e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292800e+02,-8.509364e+01,-8.377449e-03,1.166873e-17,0.000000e+00,-1.383744e-03,-1.546909e-03,9.999977e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292600e+02,-8.508048e+01,-8.377908e-03,1.229214e-17,0.000000e+00,-1.443366e-03,-1.550606e-03,9.999976e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292400e+02,-8.506731e+01,-8.378378e-03,1.343055e-17,0.000000e+00,-1.502902e-03,-1.551835e-03,9.999975e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292200e+02,-8.505415e+01,-8.378892e-03,1.271227e-17,0.000000e+00,-1.562251e-03,-1.550609e-03,9.999974e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292000e+02,-8.504098e+01,-8.379457e-03,1.108597e-17,0.000000e+00,-1.621314e-03,-1.546946e-03,9.999973e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.291800e+02,-8.502782e+01,-8.380044e-03,1.179070e-17,0.000000e+00,-1.679990e-03,-1.540868e-03,9.999972e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.291600e+02,-8.501466e+01,-8.380624e-03,1.303753e-17,0.000000e+00,-1.738181e-03,-1.532401e-03,9.999971e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.291400e+02,-8.500149e+01,-8.381196e-03,1.317306e-17,0.000000e+00,-1.795792e-03,-1.521573e-03,9.999970e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.291200e+02,-8.498833e+01,-8.381790e-03,1.168228e-17,0.000000e+00,-1.852727e-03,-1.508419e-03,9.999969e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.291000e+02,-8.497516e+01,-8.382427e-03,1.303753e-17,0.000000e+00,-1.908892e-03,-1.492976e-03,9.999968e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.290800e+02,-8.496200e+01,-8.383096e-03,1.341700e-17,0.000000e+00,-1.964198e-03,-1.475285e-03,9.999967e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.290600e+02,-8.494884e+01,-8.383766e-03,1.366095e-17,0.000000e+00,-2.018554e-03,-1.455390e-03,9.999966e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.290400e+02,-8.493567e+01,-8.384418e-03,1.141123e-17,0.000000e+00,-2.071873e-03,-1.433340e-03,9.999965e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
